field_name;field_label_en;field_label_bg;field_label_ru
Organizations_providing_information_on_Risks_of_Sexual_Exploitation_and_Trafficking;Organization(s) providing information on Risks of Sexual Exploitation and Trafficking;Организация(и), предоставяща(и) информация за рисковете от сексуална експлоатация и трафик на хора;Организация(и), предоставляющая информацию о рисках сексуальной эксплуатации и торговли людьми
Organizations_providing_information_on_Services_Available;Organization(s) providing information on Services Available;Организация(и), предоставяща(и) информация за наличните услуги;Организация(и), предоставляющая(ие) информацию о доступных услугах
Organizations_providing_information_on_Temporary_Protection;Organization(s) providing information on Temporary Protection;Организация(и), предоставяща(и) информация за временна закрила;Организация(и), предоставляющая(ие) информацию о временной защите
Organizations_providing_information_on_Transport_including_for_people_in_transit;Organization(s) providing information on Transport including for people in transit;Организация(и), предоставяща(и) информация за транспорт, включително за транзитно преминаващи лица;Организация(и), предоставляющая(ие) информацию о транспорте, в том числе для транзитных людей
Legal_counselling_and_assistance_is_available_in_the_Site;Legal counselling and assistance is available in the Site?;Налице ли са правни консултации и помощ в обекта?;Юридические консультации и помощь доступны на территории объекта?
Organizations_providing_legal_assistance;Organization(s) providing legal assistance;Организация(и), предоставяща(и) правна помощ;Организация(и), предоставляющая(ие) юридическую помощь
Type_of_staff_providing_legal_assistance;Type of staff providing legal assistance;Вид на персонала, предоставящ правна помощ;Тип персонала, предоставляющего юридическую помощь
Number_of_staff_providing_legal_information_assistance;Number of staff providing legal information/assistance;Брой на персонала, предоставящ правна информация/помощ;Количество сотрудников, предоставляющих правовую информацию/помощь
Are_referrals_for_accommodation_provision_established_in_the_Site;Are referrals for accommodation provision established in the Site?;Създадени ли са в обекта направления за предоставяне на настаняване?;Имеются ли в Объекте направления для предоставления жилья?
Organization_making_referrals_for_accomodation;Organization making referrals for accomodation;Организация, която насочва за настаняване;Организация, выдающая направления для предоставления жилья
Are_services_for_persons_in_transit_available;Are services for persons in transit available?;Налични ли са услуги за транзитно преминаващи лица?;Имеются ли услуги для транзитных лиц?
Organization_providing_assistance_to_people_in_tranzit;Organization providing assistance to people in tranzit;Организация, предоставяща помощ на лица в транзит;Организация, предоставляющая помощь лицам, находящимся в транзите
Is_humanitarian_assistance_provided_at_the_Entry_Point_or_Registration_Hub;Is humanitarian assistance provided at the Entry Point or Registration Hub?;Предоставя ли се хуманитарна помощ в пункта за влизане или в регистрационния център?;Предоставляется ли гуманитарная помощь в пункте въезда или регистрационном центре?
Are_non_food_items_NFIs_distributed_in_the_Site;Are non-food items (NFIs) distributed in the Site?;Разпределят ли се нехранителни стоки (НХС) в обекта?;Распространяются ли непродовольственные товары (НПТ) в пункте?
Organizaitons_distributing_NFIs;Organizaiton(s) distributing NFIs;Организация(и), разпространяваща(и) НФП;Организация(и), распределяющая(ие) НПИ
List_the_NFI_items_distributed;NFI items distributed;Разпределени нефинансови продукти;Распределены предметы НФИ
COVID_19_Measures_in_place;COVID-19 Measures in place;COVID-19 Въведени мерки;COVID-19 Принятые меры
