field_name;field_label_en;field_label_sk
waste_management;Adequate waste management system at the site:;Má toto centrum primerane vyriešený odpadový manažment?
legal_advice;Legal aid and counselling available:;Je v centre prístupná právna pomoc alebo poradenstvo?
legal_provider;Legal aid service provider:;Ak áno, kto ju zabezpečuje?
specialised_child_protection_services;Child protection services available:;Sú v centre služby na ochranu detí (na identifikáciu a nahlásenie ohrozených detí)?
specialised_child_protection_services_provider;Child protection service provider:;Ak áno, kto ich zabezpečuje?
specialised_gender_based__violence_services;Services for persons experiencing gender-based (GBV) violence such as domestic violence available:;Existujú v tomto centre služby pre osoby zažívajúce rodovo podmienené násilie, ako je napr. domáce násilie?
specialised_GBV_services_provider;GBV service provider:;Ak áno, kto ich zabezpečuje?
services_available_disabilities;Services available for people with disabilities at this site:;Sú v tomto centre dostupné služby pre ľudí so zdravotným znevýhodnením?
site_need_disabilities_support_children;Support available for children with disabilities and their families:;Existuje v tomto centre nejaká podpora pre deti so zdravotným znevýhodnením a ich rodiny?
protection_information_desk;Protection information desk available for counselling and referrals to required service or assistance:;Je v centre dostupné poradenstvo o ochrane zraniteľných skupín a možnosti využitia služieb a asistencie?
protection_information_desk_provider;Protection information desk service provider:;Ak áno, kto ho zabezpečuje?
privacy_gbv_protec_desk_legal;Privacy is protected while providing legal advice, GBV specialised and protection desk services;Je chránené súkromie utečencov pri poskytovaní právneho poradenstva a služieb spojených s ochranou a rodovo podmieneným násilím?
information_available;Information available:;Sú v centre dostupné informácie o nasledujúcich témach:
information_disabilities;Information available on where to refer people when they need disability-specific services:;Viete vy alebo iní ľudia, ktorí podávajú informácie, poradiť ľuďom so zdravotným znevýhodnením, kam sa majú obrátiť v prípade potreby špecifických služieb?
transportation;Transportation services available at the site:;Viete, či niekto prevádzkuje prepravu z/do centra?
transportation_services;Transportation service provider:;Ak áno, kto ju prevádzkuje?
designated_space_recreational;Space for recreational activities and child-friendly / nursing spaces available:;Sú v centre vyčlenené priestory na rekreačné aktivity, priestory vhodné pre deti alebo priestory vyčlenené na kojenie?
designated_space_recreational_type;Designated recreational space:;Ak áno, ktoré z nich?
feedback_complaint_mechanism;Feedback and complaint mechanisms available:;Okrem rozhovoru s manažérom centra, sú na mieste dostupné nejaké ďalšie mechanizmy pre podávanie spätnej väzby a stažností?
feedback_complaint_mechanism_type;Feedback complaint mechanism:;Ak áno, akým spôsobom sú zabezpečené?
free_wifi;Free Wifi available:;Je v centre dostupná wifi sieť?
data_sim_card;Data/SIM card provided:;Sú v centre poskytované SIM karty alebo mobilné dáta?
mental_health_psychological_support;Mental health and psychosocial support and services available (MHPSS):;Sú na mieste dostupné služby a podpora v psychosociálnej oblasti a oblasti mentálneho zdravia?
mental_health_psychological_support_provider;MHPSS Service provider:;Ak áno, kto ich zabezpečuje?
medical_care_services;Basic primary medical care services available:;Sú na mieste zabezpečené základné zdravotné služby?
medical_serv_info;Medical services available:;Ak áno, sú nasledujúce zdravotné služby dostupné?
refugee_edu_non_formal;Non-formal education activities available:;Koľko detí z centra je zapísaných (registrovaných) do slovenskej školy na akademický rok 2022/2023?
staff_skills;Staff and volunteers trained on SEA, PFA, trafficking, etc:;Dostali od otvorenia centra dobrovoľníci a personál špeciálny tréning/vzdelávanie v oblasti sexuálneho obťažovania a zneužívania, psychologickej prvej pomoci, obchodovania s ľuďmi a pod.?
translation;Interpretation/translation available:;Sú v centre dostupné tlmočnícke/prekladateľské služby?
translation_language;Language available:;Ak áno, v ktorých jazykoch?
site_issues;Site issues;Problémy so stránkami
ind_site;Number of individuals at the site;Počet osôb na lokalite
