field_name;field_label_en;field_label_ar
Total_Ind_female_site;Total number of Female on site:;إجمالي عدد الإناث في الموقع:
Number_of_new_arrivals_in_the_past_week;Number of new arrivals in the past week;عدد الوافدين الجدد في الأسبوع الماضي
Number_of_departures_in_the_past_week;Number of departures in the past week;عدد المغادرين في الأسبوع الماضي
Female_headed_families;Estimated number of female headed households ;العدد التقديري للأسر التي تعيلها إناث
Number_Persons_with_disability;Number of Persons living with disability;عدد شخص من ذوي الاحتياجات الخاصة
Number_Persons_serious_medical_condition;Number of Persons with serious medical condition;عدد الأشخاص الذين يعانون من حالة صحية خطيرة
Number_pregnant_Women;Number of pregnant Women;عدد النساء الحوامل
Number_lactating_Mothers;Number of lactating Mothers;عدد الأمهات المرضعات
Number_children_separated;Number of children separated / unaccompanied  from families or parents;عدد الأطفال المنفصلين و غير المصحوبين عن عائلاتهم أو والديهم
Number_Older_persons_no_caregivers;Number of Older persons with no caregivers;عدد كبار السن الذين ليس لديهم من يعتني بهم
General_comment_population;General comment on the population;ملاحظات عامة حول السكان
Name_site_focalpoint;Name of the site focal point;اسم المسؤول عن الموقع
contact_site_focalpoint;Contact number of the site focal point;رقم هاتف المسؤول عن الموقع
person_still_site_focal_point;Is this person still the site focal point?;هل لا يزال هذا الشخص هو المسؤول الموقع؟
community_based_committees;Which of the following existing community-based committees are present and active in the site?;ما هي اللجان المجتمعية الموجودة التالية والتي تعمل وتمارس نشاطها في الموقع؟
Electricity_Network;Electricity Network: What is the functionality status of the electricity services in the current location?;شبكة الكهرباء: ما هو الوضع الوظيفي لخدمات الكهرباء في الموقع الحالي
status_generators;Generator Status: What is the functionality status of the generators in the site?;ما هي حالة عمل المولدات في الموقع في الأيام السبعة الماضية؟
Telephone_Network;Telephone Network Connection: What is the functionality status of the telephone network for calls/SMS in the current location?;شبكة الهاتف: ما هي الحالة الوظيفية لشبكة الهاتف للمكالمات / الرسائل القصيرة في الموقع الحالي؟
Internet_Network;Internet Network Connection: What is the functionality status of the internet network in the current location?;شبكة الإنترنت: ما هي حالة وظيفة شبكة الإنترنت في الموقع الحالي؟
Heating_system;Heating System: What is the functionality status of the heating system in the site?;نظام التدفئة: ما هي حالة عمل نظام التدفئة في الموقع؟
plans_to_close_site_coming3months;Are there plans to close the site in the coming 3 months?;هل هناك خطط لإغلاق الموقع في الأشهر الثلاثة المقبلة؟
expected_date_closure_move;If so, when is the expected date of closure/move?;إذا كان الأمر كذلك، متى يكون التاريخ المتوقع للإغلاق/الانتقال؟
functioning_complaints_feedback_mechanism_CFM;Is there a functioning complaints and feedback mechanism (CFM) in the site?;هل توجد آلية شكاوى وملاحظات فعّالة في الموقع؟
functioning_case_referral_mechanism;Is there a functioning case referral mechanism in the site?;هل توجد آلية إحالة حالات فعّالة في الموقع؟
visitors_entry_site_been_monitored;Have visitors’ entry and exits into the site been monitored by the site focal point/ manager?;هل تتم مراقبة دخول الزوار وخروجهم إلى الموقع من قبل المسؤول/المدير في الموقع؟
updated_information_boards_exist;Do updated information boards exist to inform on access to services, including Health, CP, GBV and other services?;هل توجد لوحات معلومات محدثة لإبلاغهم عن الوصول إلى الخدمات، بما في ذلك خدمات الصحة وحماية الطفل والعنف القائم على النوع الاجتماعي وغيرها من الخدمات؟
staffed_helpdesk;Is there a staffed helpdesk (community or organisation run) in the site providing information to site residents?;هل يوجد مكتب مساعدة مأهول (يديره المجتمع أو المنظمة) في الموقع يقدم المعلومات لسكان الموقع؟
community_first_aid_kits_available_site;Are there community first aid kits available in the site?;هل تتوفر مجموعات الإسعافات الأولية المجتمعية في الموقع؟
emergency_exits_kept_clear_visible;Are emergency exits kept clear and visible?;هل يتم الحفاظ على مخارج الطوارئ واضحة ومرئية؟
firefighting_kits_available_functioning;Are there firefighting kits available and functioning?;هل تتوفر مجموعات إطفاء الحرائق وتعمل؟
fuel_to_run_generators;Is there fuel to run the generators for the next two weeks?;هل يوجد وقود لتشغيل المولدات للأسبوعين المقبلين؟
need_Winter_emergency_survival_kits;Is there a winter care and maintenance tool kit?;هل هناك مجموعة أدوات للعناية والصيانة في الشتاء؟
Number_Medium_Thermal_Blankets_needed;Number of Medium Thermal Blankets needed;عدد البطانيات الحرارية المتوسطة اللازمة
Number_High_Thermal_Blankets_needed;Number of High Thermal Blankets needed;عدد البطانيات الحرارية العالية اللازمة
Number_Mattresses_needed;Number of Mattresses needed;عدد فرش اللازمة
Number_Sleepings_Mattresses_needed;Number of Sleepings Mattresses needed;عدد فرش النوم اللازمة
Number_Pillows_needed;Number of Pillows needed;عدد الوسائد اللازمة
Number_Kitchen_sets_needed;Number of Kitchen sets needed;عدد أدوات المطبخ اللازمة
Number_Stoves_heating_cooking_needed;Number of Stoves for heating/cooking needed;عدد ادوات التدفئة اللازمة
Number_Heaters_needed;Number of Heaters needed;عدد ادوات التدفئة كهربائية اللازمة
Number_Solar_Lamps_needed;Number of Solar Lamps needed;عدد مصابيح شمسية اللازمة
Number_batteries_needed;Number of batteries needed;عدد البطاريات اللازمة
Clothing_needed;Clothing needed;الملابس اللازمة
Winter_Clothing_needed;Winter Clothing needed;ملابس الشتاء اللازمة
Diapers_needed;Diapers needed;الحفاضات اللازمة
functioning_communal_kitchen;Is there a functioning communal kitchen in the site?;هل يوجد مطبخ مشترك يعمل في الموقع؟
Kitchen_equip;Is the communal kitchen equipped with (Select what is available) ?;هل المطبخ المشترك مجهز ب ؟
types_food_assistance_provided;Have any of the following types of food assistance been provided in the last 7 days?;هل تم تقديم أي من أنواع المساعدات الغذائية التالية في الأيام السبعة الماضية؟
provide_three_hot_meals_daily;If hot meals, does the distribution provide three meals daily?;إذا كانت الوجبات ساخنة، فهل يوفر التوزيع ثلاث وجبات يوميًا؟
proportion_households_received_assistance;Please indicate the proportion of households that received this assistance in the last 7 days;يرجى الإشارة إلى نسبة الأسر التي تلقت هذه المساعدة في الأيام السبعة الماضية
visible_water_leaks_mold_site;Are there any visible water leaks/ or mold in the site?;هل توجد أي تسربات مياه مرئية/ أو عفن في الموقع؟
visible_electrical_hazards_site;Are there any visible electrical hazards in the site?;هل توجد أي مخاطر كهربائية مرئية في الموقع؟
partitioning_repair_communal_living_spaces;Is there a need for partitioning/repair of communal living spaces for dignity,privacy and protection risk mitigation?;هل هناك حاجة لتقسيم/إصلاح مساحات المعيشة المشتركة للتخفيف من مخاطر الكرامة والخصوصية والحماية؟
need_Weatherproofing;Is there a need for Weatherproofing?;هل هناك حاجة للعزل؟
winter_site_improvements;Is there a need for winter related improvements/ winterization?;هل هناك حاجة للتحسينات المتعلقة بالشتاء/التجهيز لفصل الشتاء؟
visible_signs_overcrowding_collective_site;Are there visible signs of overcrowding in the collective site?;هل توجد علامات واضحة على الاكتظاظ في الموقع الجماعي؟
functioning_lighting_circulation_corridors_common_spaces;Has there been functioning lighting in the circulation corridors and all common spaces at all times in the last 7 days?;هل كانت هناك إضاءة عاملة في الممرات وجميع المساحات المشتركة في جميع الأوقات في الأيام السبعة الماضية؟
functioning_lighting_shelter_units;Has there been functioning lighting in the shelter units at all times in the last 7 days?;هل كانت هناك إضاءة عاملة في وحدات المأوى في جميع الأوقات في الأيام السبعة الماضية؟
source_domestic_service_water;What is the main source of domestic/service water inside the shelter?;ما هو المصدر الرئيسي للمياه المنزلية/الخدمية داخل الملجأ؟
Hours_domestic_service_water;How many hours/day is service/domestic water available in the shelter water network/taps for residents in the last 7 days;كم عدد الساعات/اليوم التي تتوفر فيها المياه المنزلية/الخدمية في شبكة/صنابير مياه الملجأ للسكان في الأيام السبعة الماضية
source_drinking_water;What are the main sources of drinking water used by the site residents in the last 7 days?;ما هي المصادر الرئيسية لمياه الشرب التي يستخدمها سكان الموقع في الأيام السبعة الماضية؟
problem_sewage_disposal;Is there a problem with sewage disposal in the site?;هل هناك مشكلة في التخلص من مياه الصرف الصحي في الموقع؟
all_toilets_showers_gender_segregated;Are all the toilets and showers gender segregated and clearly marked?;هل جميع المراحيض والحمامات منفصلة حسب الجنس ومميزة بوضوح؟
Total_number_of_functioning_male_toilets;Total number of functioning male toilets;إجمالي عدد مراحيض الذكور العاملة
Total_number_of_non_functioning_male_toilets;Total number of non functioning male toilets;إجمالي عدد مراحيض الذكور غير العاملة
Total_number_of_functioning_female_toilets;Total number of functioning female toilets;إجمالي عدد مراحيض االإناث العاملة
Total_number_of_non_functioning_female_toilets;Total number of non functioning female toilets;إجمالي عدد مراحيض الإناث غير العاملة
Total_number_of_functioning_non_gender_segregated_toilets;Total number of functioning non gender segregated toilets;إجمالي عدد المراحيض العاملة غير المنفصلة حسب الجنس
Total_number_of_non_functioning_non_gender_segregated_toilets;Total number of non functioning non gender segregated toilets;إجمالي عدد المراحيض غير العاملة غير المنفصلة حسب الجنس
Total_number_of_functioning_male_showers;Total number of functioning male showers;إجمالي عدد مرافق الاستحمام للذكور العاملة
Total_number_of_non_functioning_male_showers;Total number of non functioning male showers;إجمالي عدد مرافق الاستحمام للذكور غير العاملة
Total_number_of_functioning_female_showers;Total number of functioning female showers;إجمالي عدد مرافق الاستحمام للإناث العاملة
Total_number_of_non_functioning_female_showers;Total number of non functioning female showers;إجمالي عدد مرافق الاستحمام للإناث غير العاملة
Total_number_of_functioning_non_gender_segregated_showers;Total number of functioning non gender segregated showers;إجمالي عدد مرافق الاستحمام العاملة غير المنفصلة حسب الجنس
Total_number_of_non_functioning_non_gender_segregated_showers;Total number of non functioning non gender segregated showers;إجمالي عدد مرافق الاستحمام غير العاملة غير المنفصلة حسب الجنس
toilets_showers_internally_lockable;Are all the toilets and showers internally lockable?;هل جميع المراحيض والحمامات قابلة للقفل داخليًا؟
problem_drainage_rainwater_outside_building;Is there a problem with drainage of rainwater outside of the building;هل هناك مشكلة في تصريف مياه الأمطار خارج المبنى
soap_available_handwashing;Is there soap available for handwashing in toilet locations;هل يتوفر صابون لغسل اليدين في أماكن المراحيض
functioning_access_gender_neutral_toilets_ramps;Are there functioning single access gender neutral toilets with ramps or level entries accessible for people with special needs?;هل توجد مراحيض محايدة للجنسين تعمل بمدخل واحد مع منحدرات أو مداخل مستوية يمكن الوصول إليها للأشخاص ذوي الاحتياجات الخاصة؟
Total_number_functioning_sink_taps;Total number of functioning sink taps;العدد الإجمالي لصنابير الحوض العاملة
Total_number_non_functioning_sink_taps;Total number of non functioning sink taps;العدد الإجمالي لصنابير الحوض غير العاملة
toilet_areas_access_handwashing;Do toilet areas have access to handwashing?;هل مناطق المراحيض بها إمكانية الوصول إلى غسل اليدين؟
functioning_lighting_WASH_facilities;Has there been some form of functioning lighting in the WASH facilities at all times in the last 7 days? (rechargeable torches or fixed lighting);هل كان هناك اضاءة عاملة في مرافق المياه والصرف الصحي في جميع الأوقات في الأيام السبعة الماضية؟ (مصابيح قابلة لإعادة الشحن أو إضاءة ثابتة)
hot_water_available_showers;Has there been hot water available within the showers in the last 7 days?;هل كان الماء الساخن متاحًا داخل الدشات في الأيام السبعة الماضية؟
proportion_individuals_access_hot_water;Please indicate the proportion of individuals that were able to access hot water when needed;يرجى الإشارة إلى نسبة الأفراد الذين تمكنوا من الوصول إلى الماء الساخن عند الحاجة
Where_people_wash_clothes;Where do people wash their clothes (select all that apply);أين يغسل الناس ملابسهم (حدد كل ما ينطبق)
Total_number_functioning_washing_machines;Total number of functioning washing machines;العدد الإجمالي للغسالات العاملة
Total_number_non_functioning_washing_machines;Total number of non functioning washing machines;العدد الإجمالي للغسالات غير العاملة
problem_garbage_management_inside_shelter;Is there a problem of garbage management inside the shelter?;هل هناك مشكلة في إدارة القمامة داخل المأوى؟
exist_communal_bin_garbage;Are there communal bins for garbage around the shelter;هل توجد صناديق مشتركة للقمامة حول المأوى
Any_garbage_bins_used;Are there recycling bins available and usable by the site residents?;هل توجد سلال  للقمامة في المأوى
problem_garbage_collection;Is there a problem of garbage collection away from the shelter that is causing problems?;هل هناك مشكلة في جمع القمامة بعيدًا عن المأوى مما يسبب مشاكل؟
Hygiene_kits_needed;Hygiene kits needed;هل هناك حاجة إلى أدوات النظافة؟
cleaning_products_available;Are there cleaning products and items available for use in the site?;هل تتوفر منتجات ومواد تنظيف للاستخدام في الموقع؟
safe_space_disclosure_referral_protection_issues;Is there a safe space for disclosure and referral of protection issues in the site (supporting timely case managemnet services and Psychosocial support)?;هل توجد مساحة آمنة للإفصاح عن قضايا الحماية وإحالتها في الموقع (دعم خدمات إدارة الحالة في الوقت المناسب والدعم النفسي والاجتماعي)؟
information_PSEA_with_reporting_mechanisms;Is information about PSEA with reporting mechanisms visible at the site (endorsed PSEA Network Material)?;هل توجد معلومات حول PSEA مع آليات الإبلاغ مرئية في الموقع (مواد شبكة PSEA المعتمدة)؟
entrance_door_site_lockable_inside;Is the entrance door of the site lockable from the inside?;هل يمكن قفل باب مدخل الموقع من الداخل؟
household_units_rooms_lockable_inside;Are all household units/ rooms lockable from the inside?;هل يمكن قفل جميع الوحدات المنزلية/الغرف من الداخل؟
safety_concerns;Which of the following safety concerns are present in the site?;ما هي المخاوف المتعلقة بالسلامة التالية الموجودة في الموقع؟
dedicated_child_friendly_space_site;Is there a dedicated child-friendly space in the site?;هل توجد مساحة مخصصة صديقة للأطفال في الموقع؟
dedicated_child_friendly_space_facilitator_present;Has there been a dedicated child-friendly space facilitator present in the last 7 days?;هل كان هناك شخص مخصص لتأمين مساحة صديقة للأطفال موجودًا في الأيام السبعة الماضية؟
active_specialized_Protection_GBV_CP_case_management_services;Are there active specialized Protection, GBV, CP case management services in the site in the last 7 days?;هل توجد خدمات إدارة حالات الحماية والعنف القائم على النوع الاجتماعي وحماية الطفل المتخصصة النشطة في الموقع في الأيام السبعة الماضية؟
site_residents_access_basic_health_services_PHCC;Were site residents able to access basic health services from a functioning Primary Health care center (PHCC) or Satellite unit (PSU) in the last 7 days?;هل تمكن سكان الموقع من الوصول إلى الخدمات الصحية الأساسية من مركز رعاية صحية أولية (PHCC) أو وحدة تابعة (PSU) عاملة في الأيام السبعة الماضية؟
childhood_immunization_services_available_site;Were childhood immunization services available to site residents in the last 7 days?;هل كانت خدمات تحصين الأطفال متاحة لسكان الموقع في الأيام السبعة الماضية؟
mental_health_services_available_site;Were mental health services available to site residents in the last 7 days?;هل كانت خدمات الصحة العقلية متاحة لسكان الموقع في الأيام السبعة الماضية؟
sexual_reproductive_health_services_accessible;Were sexual and reproductive health services  (Maternal Care, Family Planning services, etc) accessible to site residents in the last 7 days?;هل كانت خدمات الصحة الجنسية والإنجابية (رعاية الأمومة وخدمات تنظيم الأسرة وما إلى ذلك) متاحة لسكان الموقع في الأيام السبعة الماضية؟
items_needed_site;Which of the following items are needed in the site?;أي من العناصر التالية مطلوبة في الموقع؟
nutrition_Early_childhood_development_provided_nutrition;Have nutrition and Early childhood development (ECD) frontliners provided nutrition and ECD services to the site in the last 7 days?;هل قدم العاملون في مجال التغذية وتنمية الطفولة المبكرة خدمات التغذية وتنمية الطفولة المبكرة للموقع خلال الأيام السبعة الماضية؟
ECD_services_available;Which, if any, of the below services were available on site in the last 7 days?;ما هي الخدمات أدناه، إن وجدت، التي كانت متاحة في الموقع خلال الأيام السبعة الماضية؟
children_under_5_Pregnant_provided_with_feeding_supplements;Have children under 5, Pregnant and lactating women, and adolescents been provided with feeding or micronutrient supplements in the last 14 days?;هل تم تزويد الأطفال دون سن 5 سنوات والنساء الحوامل والمرضعات والمراهقين بمكملات غذائية أو مكملات غذائية دقيقة خلال الأيام الأربعة عشر الماضية؟
children_under_5_Pregnant_screened_acute_malnutrition;Have children under 5 and Pregnant and lactating women been screened for acute malnutrition in the last 14 days?;هل تم فحص الأطفال دون سن 5 سنوات والنساء الحوامل والمرضعات بحثًا عن سوء التغذية الحاد خلال الأيام الأربعة عشر الماضية؟
private_room_site_repurposed_designated;Is there a private room or space in the site repurposed/ designated as as MBC (Mother & baby corner)?;هل توجد غرفة أو مساحة خاصة في الموقع تم إعادة استخدامها/تخصيصها كركن للأم والطفل؟
functioning_refrigerator_water_boiler_utensil_facility_available_MBC;Is there a functioning refrigerator, water boiler and baby feeding utensil facility available in the MBC or the site?;هل تتوفر ثلاجة عاملة وغلاية مياه وأدوات تغذية للأطفال في مركز الأم والطفل أو الموقع؟
MBC_cleaned_daily;Was the MBC cleaned daily over last 7 days?;هل تم تنظيف مركز الأم والطفل يوميًا خلال الأيام السبعة الماضية؟
postpartum_kits_needed;Are postpartum kits needed in the site?;هل هناك حاجة إلى أدوات ما بعد الولادة في الموقع؟
displaced_children_attend_primary_school;Did displaced children attend primary school in the last 7 days?;هل التحق الأطفال النازحون بالمدرسة الابتدائية خلال الأيام السبعة الماضية؟
proportion_primary_aged_children_attended_school;Please indicate the proportion of primary-aged children that attended school in the last 7 days;يرجى الإشارة إلى نسبة الأطفال في سن المرحلة الابتدائية الذين التحقوا بالمدرسة خلال الأيام السبعة الماضية
access_primary_education_modality;Please specify how they access to primary education?;يرجى تحديد كيفية وصولهم إلى التعليم الابتدائي؟
displaced_children_attend_secondary_school;Did displaced children attend secondary school in the last 7 days?;هل التحق الأطفال النازحون بالمدرسة الثانوية خلال الأيام السبعة الماضية؟
proportion_secondary_aged_children_attended_school;Please indicate the proportion of secondary-aged children that attended school in the last 7 days;يرجى تحديد نسبة الأطفال في سن المرحلة الثانوية الذين التحقوا بالمدرسة خلال الأيام السبعة الماضية
access_secondary_education_modality;Please specify how they access to secondary education?;يرجى تحديد كيفية وصولهم إلى التعليم الثانوي؟
reasons_not_engaged_learning;If not all children are currently engaged in learning, what do you think are the top 3 reasons?;إذا لم يكن جميع الأطفال منخرطين حاليًا في التعلم، فما هي الأسباب الثلاثة الرئيسية في رأيك؟
proportion_individuals_access_hot_water_prcnt;What is proportion of individuals that were able to access hot water when needed;ما هي نسبة الأفراد الذين تمكنوا من الوصول إلى الماء الساخن عند الحاجة
Hours_Electricity_Network;How many hours/day was electricity available in the site in the last 7 days?;كم عدد الساعات/اليوم التي تتوفر فيها خدمات الكهرباء في الأيام السبعة الماضية
